image_name,label,Unhealthy,Healthy,Rubbish
isbi2025_ps3c_test_image_10266.png,rubbish,0.009098173,0.35351658,0.63738525
isbi2025_ps3c_test_image_10327.png,healthy,0.003214185,0.97934973,0.017436095
isbi2025_ps3c_test_image_11297.png,unhealthy,0.8724026,0.017898677,0.10969874
isbi2025_ps3c_test_image_11411.png,healthy,0.042457934,0.50809073,0.44945133
isbi2025_ps3c_test_image_11550.png,rubbish,0.004892227,0.14790797,0.8471998
isbi2025_ps3c_test_image_12013.png,unhealthy,0.8981242,0.032546904,0.0693289
isbi2025_ps3c_test_image_12152.png,healthy,0.01539701,0.6442841,0.3403189
isbi2025_ps3c_test_image_12199.png,rubbish,0.000644872,0.002873899,0.99648124
isbi2025_ps3c_test_image_12695.png,healthy,0.013362147,0.8248849,0.16175301
isbi2025_ps3c_test_image_12984.png,rubbish,0.003382849,0.014229775,0.98238736
isbi2025_ps3c_test_image_13029.png,healthy,0.010532375,0.94654083,0.042926796
isbi2025_ps3c_test_image_13168.png,healthy,0.013675458,0.70154274,0.28478178
isbi2025_ps3c_test_image_13664.png,healthy,0.014614299,0.7516161,0.23376963
isbi2025_ps3c_test_image_13725.png,rubbish,0.004528235,0.054375976,0.9410958
isbi2025_ps3c_test_image_13834.png,rubbish,0.001489047,0.007742222,0.9907688
isbi2025_ps3c_test_image_13975.png,healthy,0.000333229,0.99767673,0.001990038
isbi2025_ps3c_test_image_14180.png,rubbish,0.004912473,0.027167592,0.96791995
isbi2025_ps3c_test_image_14647.png,rubbish,0.18827032,0.30815136,0.50357836
isbi2025_ps3c_test_image_14817.png,rubbish,0.00016158,0.00051208,0.99932635
isbi2025_ps3c_test_image_14956.png,rubbish,0.14229055,0.039069243,0.81864023
isbi2025_ps3c_test_image_15030.png,healthy,0.011524357,0.9689237,0.019552056
isbi2025_ps3c_test_image_15171.png,unhealthy,0.98942584,0.003063338,0.00751086
isbi2025_ps3c_test_image_16432.png,healthy,0.01978945,0.75784016,0.22237045
isbi2025_ps3c_test_image_16573.png,rubbish,0.00421801,0.14246963,0.8533124
isbi2025_ps3c_test_image_17245.png,healthy,0.012381404,0.7037176,0.28390104
isbi2025_ps3c_test_image_17408.png,rubbish,0.004314624,0.11703456,0.8786509
isbi2025_ps3c_test_image_17549.png,rubbish,0.004306405,0.025041807,0.9706518
isbi2025_ps3c_test_image_17582.png,rubbish,0.002297478,0.006829853,0.99087274
isbi2025_ps3c_test_image_18070.png,rubbish,0.011440275,0.03346368,0.95509607
isbi2025_ps3c_test_image_18131.png,healthy,0.008536263,0.97986513,0.011598627
isbi2025_ps3c_test_image_10662.png,rubbish,0.018311147,0.026792344,0.9548965
isbi2025_ps3c_test_image_10723.png,unhealthy,0.6289199,0.050697383,0.32038274
isbi2025_ps3c_test_image_10973.png,healthy,0.012925677,0.8458866,0.14118779
isbi2025_ps3c_test_image_11015.png,healthy,0.007396064,0.94617593,0.046428017
isbi2025_ps3c_test_image_11154.png,healthy,0.00617398,0.9555316,0.03829445
isbi2025_ps3c_test_image_11658.png,rubbish,0.000168898,0.000615735,0.99921536
isbi2025_ps3c_test_image_11693.png,healthy,0.007318382,0.85276085,0.1399208
isbi2025_ps3c_test_image_11719.png,rubbish,0.000161621,0.000512038,0.99932635
isbi2025_ps3c_test_image_11808.png,rubbish,0.006258101,0.14574668,0.8479953
isbi2025_ps3c_test_image_12291.png,healthy,0.009148993,0.93834114,0.052509952
isbi2025_ps3c_test_image_12417.png,unhealthy,0.7654681,0.1811655,0.053366434
isbi2025_ps3c_test_image_12556.png,rubbish,0.006994946,0.20530601,0.7876991
isbi2025_ps3c_test_image_13260.png,rubbish,0.005224872,0.008523816,0.98625135
isbi2025_ps3c_test_image_13321.png,rubbish,0.007940991,0.39308107,0.59897804
isbi2025_ps3c_test_image_14243.png,rubbish,0.00016171,0.000512038,0.9993262
isbi2025_ps3c_test_image_14288.png,rubbish,0.20686659,0.18676478,0.60636866
isbi2025_ps3c_test_image_14302.png,rubbish,0.000454275,0.001161932,0.9983839
isbi2025_ps3c_test_image_14706.png,rubbish,0.000161608,0.000512038,0.99932635
isbi2025_ps3c_test_image_15279.png,healthy,0.007675723,0.5182619,0.47406244
isbi2025_ps3c_test_image_15338.png,rubbish,0.010305062,0.4432051,0.54648983
isbi2025_ps3c_test_image_15434.png,healthy,0.009058053,0.7482901,0.24265182
isbi2025_ps3c_test_image_15575.png,rubbish,0.007534386,0.056260884,0.9362048
isbi2025_ps3c_test_image_16036.png,rubbish,0.009285321,0.29676133,0.69395334
isbi2025_ps3c_test_image_16177.png,rubbish,0.000175095,0.000645251,0.9991797
isbi2025_ps3c_test_image_17304.png,rubbish,0.000161404,0.000516937,0.9993217
