image_name,label,healthy,unhealthy,rubbish
isbi2025_ps3c_test_image_10204.png,healthy,0.55979943,0.113604106,0.32659647
isbi2025_ps3c_test_image_08367.png,rubbish,0.03671084,0.007862765,0.95542634
isbi2025_ps3c_test_image_09943.png,rubbish,0.01946824,0.011467463,0.9690643
isbi2025_ps3c_test_image_11758.png,healthy,0.68056095,0.2952773,0.024161724
isbi2025_ps3c_test_image_13590.png,unhealthy,0.1013039,0.85240203,0.046294004
isbi2025_ps3c_test_image_06573.png,rubbish,0.043912373,0.079981655,0.8761059
isbi2025_ps3c_test_image_00393.png,healthy,0.51208717,0.40732872,0.08058411
isbi2025_ps3c_test_image_03134.png,healthy,0.9715845,0.026060548,0.002354971
isbi2025_ps3c_test_image_08810.png,healthy,0.5145414,0.040921185,0.44453743
isbi2025_ps3c_test_image_06622.png,rubbish,0.07474495,0.10455944,0.8206957
isbi2025_ps3c_test_image_11989.png,healthy,0.8947778,0.07476174,0.03046042
isbi2025_ps3c_test_image_07515.png,healthy,0.920572,0.07330797,0.006120097
isbi2025_ps3c_test_image_00711.png,healthy,0.5717521,0.26305827,0.16518964
isbi2025_ps3c_test_image_11930.png,unhealthy,0.35483187,0.61456084,0.030607259
isbi2025_ps3c_test_image_16784.png,healthy,0.6610405,0.31012172,0.028837824
isbi2025_ps3c_test_image_11868.png,rubbish,0.00010206883,0.00045089202,0.99944705
isbi2025_ps3c_test_image_06678.png,rubbish,0.08520316,0.026882786,0.88791406
isbi2025_ps3c_test_image_14268.png,unhealthy,0.053408712,0.6565949,0.2899964
isbi2025_ps3c_test_image_12243.png,rubbish,0.056914475,0.0328941,0.9101914
isbi2025_ps3c_test_image_03294.png,rubbish,0.071600065,0.012543146,0.9158568
isbi2025_ps3c_test_image_03139.png,healthy,0.6645916,0.25299135,0.08241705
isbi2025_ps3c_test_image_11241.png,healthy,0.89161676,0.09431096,0.014072208
isbi2025_ps3c_test_image_10483.png,healthy,0.37864593,0.37573048,0.24562357
isbi2025_ps3c_test_image_02508.png,unhealthy,0.11624977,0.63450897,0.24924122
isbi2025_ps3c_test_image_12349.png,healthy,0.94130826,0.05209261,0.006599149
isbi2025_ps3c_test_image_09320.png,healthy,0.48190472,0.26953632,0.24855898
isbi2025_ps3c_test_image_05829.png,rubbish,0.22360095,0.08679729,0.6896017
isbi2025_ps3c_test_image_03229.png,healthy,0.6795539,0.2927378,0.027708232
isbi2025_ps3c_test_image_02041.png,rubbish,0.00547638,0.007054676,0.98746896
isbi2025_ps3c_test_image_06899.png,healthy,0.6133173,0.20882888,0.1778538
isbi2025_ps3c_test_image_07516.png,rubbish,0.43080774,0.068469636,0.5007226
isbi2025_ps3c_test_image_17174.png,rubbish,4.2786996e-06,9.224767e-06,0.9999865
isbi2025_ps3c_test_image_01870.png,rubbish,0.14550696,0.24807943,0.6064136
isbi2025_ps3c_test_image_15635.png,rubbish,0.004588171,0.0068752733,0.9885365
isbi2025_ps3c_test_image_06664.png,unhealthy,0.095525436,0.8089979,0.09547664
isbi2025_ps3c_test_image_16213.png,healthy,0.8139727,0.11144856,0.074578755
isbi2025_ps3c_test_image_18036.png,rubbish,0.13047585,0.031042682,0.8384815
isbi2025_ps3c_test_image_11827.png,healthy,0.89758176,0.029653491,0.07276476
isbi2025_ps3c_test_image_17092.png,rubbish,0.019890966,0.014106549,0.96600246
isbi2025_ps3c_test_image_05958.png,rubbish,0.3045264,0.06302266,0.6324509
isbi2025_ps3c_test_image_13957.png,rubbish,0.007472951,0.0046108435,0.98791623
isbi2025_ps3c_test_image_16196.png,healthy,0.5480771,0.11822817,0.33369473
isbi2025_ps3c_test_image_15429.png,unhealthy,0.19529489,0.47179565,0.33290944
isbi2025_ps3c_test_image_17224.png,rubbish,0.03694642,0.027538659,0.9355148
isbi2025_ps3c_test_image_09275.png,healthy,0.45908445,0.36074445,0.18017115
isbi2025_ps3c_test_image_14491.png,healthy,0.71111214,0.21487704,0.07401084
isbi2025_ps3c_test_image_17896.png,rubbish,0.028659938,0.008366281,0.9629738
isbi2025_ps3c_test_image_07764.png,rubbish,0.06928088,0.048099324,0.88261986
isbi2025_ps3c_test_image_11450.png,healthy,0.88534063,0.112949386,0.0017099516
isbi2025_ps3c_test_image_12249.png,healthy,0.50186235,0.084118605,0.41401902
isbi2025_ps3c_test_image_11087.png,healthy,0.60204905,0.18796398,0.209987
isbi2025_ps3c_test_image_00589.png,unhealthy,0.4275656,0.45181257,0.12062182
isbi2025_ps3c_test_image_02932.png,rubbish,0.12713724,0.385027,0.48783582
isbi2025_ps3c_test_image_00304.png,rubbish,0.20230232,0.18905522,0.6086425
isbi2025_ps3c_test_image_08525.png,rubbish,0.048365198,0.0056314277,0.94600344
isbi2025_ps3c_test_image_00333.png,unhealthy,0.18477601,0.79969615,0.015527863
isbi2025_ps3c_test_image_09814.png,rubbish,0.0951087,0.16332586,0.7415654
isbi2025_ps3c_test_image_15167.png,rubbish,0.19772284,0.2584167,0.54386044
isbi2025_ps3c_test_image_04691.png,rubbish,0.0012531236,0.00316637,0.9955805
isbi2025_ps3c_test_image_09496.png,rubbish,0.006168158,0.0040417984,0.98979
isbi2025_ps3c_test_image_15961.png,rubbish,0.21022126,0.32297364,0.46680516
isbi2025_ps3c_test_image_10641.png,rubbish,0.045240503,0.2483288,0.70643073
isbi2025_ps3c_test_image_13503.png,healthy,0.8146551,0.17672925,0.008615606
isbi2025_ps3c_test_image_02466.png,healthy,0.723515,0.26794615,0.008538849
isbi2025_ps3c_test_image_07791.png,unhealthy,0.071175836,0.7765414,0.15228276
isbi2025_ps3c_test_image_14606.png,healthy,0.555328,0.060866296,0.38380575
isbi2025_ps3c_test_image_02006.png,rubbish,0.045639955,0.2085387,0.74582136
isbi2025_ps3c_test_image_15986.png,rubbish,0.037803803,0.07033901,0.8918572
isbi2025_ps3c_test_image_06357.png,healthy,0.694026,0.23305267,0.07292132
isbi2025_ps3c_test_image_15647.png,healthy,0.684306,0.09193233,0.22376162
isbi2025_ps3c_test_image_11134.png,healthy,0.50206,0.37641114,0.121528886
isbi2025_ps3c_test_image_05079.png,healthy,0.9039122,0.06803829,0.028049495
isbi2025_ps3c_test_image_13676.png,rubbish,0.108209446,0.036183633,0.8556069
isbi2025_ps3c_test_image_03519.png,rubbish,0.010721315,0.0021484336,0.98713034
isbi2025_ps3c_test_image_13902.png,rubbish,0.27997193,0.17122857,0.54879946
isbi2025_ps3c_test_image_17426.png,rubbish,0.0032332914,0.0047935485,0.99197316
isbi2025_ps3c_test_image_11423.png,rubbish,0.00097529206,0.0035805174,0.9954442
isbi2025_ps3c_test_image_16042.png,healthy,0.5545633,0.43105674,0.01437995
isbi2025_ps3c_test_image_03869.png,rubbish,1.7086114e-06,6.394612e-06,0.9999919
isbi2025_ps3c_test_image_03383.png,rubbish,0.22674862,0.11279864,0.6604528
isbi2025_ps3c_test_image_11941.png,rubbish,0.006497754,0.006995394,0.9865068
isbi2025_ps3c_test_image_00561.png,unhealthy,0.2263029,0.7619984,0.011698631
isbi2025_ps3c_test_image_01017.png,rubbish,0.07411218,0.011008572,0.9148792
isbi2025_ps3c_test_image_05678.png,rubbish,0.010233543,0.019922903,0.9698436
isbi2025_ps3c_test_image_13851.png,rubbish,0.010742303,0.010556971,0.9787007
isbi2025_ps3c_test_image_13744.png,healthy,0.7415975,0.24382785,0.014574648
isbi2025_ps3c_test_image_08484.png,rubbish,0.05298008,0.022758596,0.92426133
isbi2025_ps3c_test_image_02604.png,healthy,0.8758934,0.11178808,0.012318556
isbi2025_ps3c_test_image_02137.png,rubbish,0.014141489,0.043754134,0.9421044
isbi2025_ps3c_test_image_06691.png,rubbish,0.0014056802,0.0038337025,0.9947606
isbi2025_ps3c_test_image_04980.png,rubbish,0.0023946036,0.0059827073,0.9916226
isbi2025_ps3c_test_image_09187.png,healthy,0.90111023,0.075568624,0.023321163
isbi2025_ps3c_test_image_02044.png,rubbish,0.00093067944,0.002934273,0.9961351
isbi2025_ps3c_test_image_08926.png,unhealthy,0.14745979,0.50892305,0.34361714
isbi2025_ps3c_test_image_16056.png,rubbish,3.9684087e-06,9.483436e-06,0.9999865
isbi2025_ps3c_test_image_16897.png,rubbish,0.009067227,0.0066514467,0.98428136
isbi2025_ps3c_test_image_06841.png,rubbish,0.026395665,0.05321753,0.92038685
isbi2025_ps3c_test_image_07010.png,rubbish,0.08462927,0.40597585,0.5093949
isbi2025_ps3c_test_image_16554.png,rubbish,3.161264e-06,1.1369024e-05,0.99998546
isbi2025_ps3c_test_image_17431.png,rubbish,0.00025594252,0.00070700626,0.999037
