image_name,Healthy,Unhealthy,Rubbish
isbi2025_ps3c_test_image_11930.png,0.06800393,0.6986672,0.23332883
isbi2025_ps3c_test_image_17399.png,0.000896405,0.03423708,0.9648666
isbi2025_ps3c_test_image_16087.png,0.000734159,0.03713837,0.9621275
isbi2025_ps3c_test_image_06294.png,0.001158984,0.05237993,0.94646114
isbi2025_ps3c_test_image_14848.png,0.11888841,0.87802833,0.003083264
isbi2025_ps3c_test_image_05945.png,0.000244467,0.7992271,0.20052835
isbi2025_ps3c_test_image_14690.png,7.48E-05,0.016469775,0.9834554
isbi2025_ps3c_test_image_04483.png,0.024895098,0.08524149,0.88986343
isbi2025_ps3c_test_image_13699.png,5.64E-06,0.003492154,0.9965023
isbi2025_ps3c_test_image_13841.png,0.002796913,0.9294433,0.06775976
isbi2025_ps3c_test_image_02794.png,0.07246981,0.88179386,0.04573632
isbi2025_ps3c_test_image_12587.png,0.000847049,0.008043693,0.99110925
isbi2025_ps3c_test_image_07834.png,0.00101814,0.000437912,0.998544
isbi2025_ps3c_test_image_09819.png,0.004080107,0.005514463,0.9904054
isbi2025_ps3c_test_image_00183.png,0.017739762,0.06847574,0.91378456
isbi2025_ps3c_test_image_10390.png,0.001086122,0.39577588,0.603138
isbi2025_ps3c_test_image_16939.png,0.073399946,0.007366899,0.91923314
isbi2025_ps3c_test_image_01289.png,0.005047685,0.3807273,0.6142251
isbi2025_ps3c_test_image_07820.png,0.026539026,0.1599383,0.81352264
isbi2025_ps3c_test_image_00197.png,0.001373003,0.005862142,0.9927648
isbi2025_ps3c_test_image_10384.png,0.001834495,0.001838628,0.99632686
isbi2025_ps3c_test_image_02958.png,5.64E-08,0.000230115,0.99976987
isbi2025_ps3c_test_image_02780.png,0.000108145,0.02217233,0.97771955
isbi2025_ps3c_test_image_13855.png,0.18045828,0.2361338,0.5834079
isbi2025_ps3c_test_image_12593.png,0.009828368,0.029107317,0.96106434
isbi2025_ps3c_test_image_05789.png,0.000491585,0.016910931,0.9825974
isbi2025_ps3c_test_image_14684.png,0.003054883,0.000533158,0.996412
isbi2025_ps3c_test_image_05951.png,0.033732347,0.95368636,0.012581343
isbi2025_ps3c_test_image_04497.png,0.12210496,0.372573,0.50532204
isbi2025_ps3c_test_image_11924.png,0.08470299,0.02720862,0.8880884
isbi2025_ps3c_test_image_16093.png,0.5683068,0.37869483,0.052998364
isbi2025_ps3c_test_image_00829.png,0.14953038,0.20770454,0.64276505
